"boc_activity_date","boe_meeting_date_indicator","boc_projection_materials_indicator"
2000-02-03,1,0
2000-03-22,1,0
2000-05-17,1,0
2000-12-05,1,0
2001-01-23,1,1
2001-03-06,1,0
2001-04-17,1,1
2001-05-29,1,0
2001-07-17,1,1
2001-08-28,1,0
2001-10-23,1,1
2001-11-27,1,0
2002-01-15,1,1
2002-03-05,1,0
2002-04-16,1,1
2002-06-04,1,0
2002-07-16,1,1
2002-09-04,1,0
2002-10-16,1,1
2002-12-03,1,0
2003-01-21,1,1
2003-03-04,1,0
2003-04-15,1,1
2003-06-03,1,0
2003-07-15,1,1
2003-09-03,1,0
2003-10-15,1,1
2003-12-02,1,0
2004-01-20,1,1
2004-03-02,1,0
2004-04-13,1,1
2004-06-08,1,0
2004-07-20,1,1
2004-09-08,1,0
2004-10-19,1,1
2004-12-07,1,0
2005-01-25,1,1
2005-03-01,1,0
2005-04-12,1,1
2005-05-25,1,0
2005-07-12,1,1
2005-09-07,1,0
2005-10-18,1,1
2005-12-06,1,0
2006-01-24,1,1
2006-03-07,1,0
2006-04-25,1,1
2006-05-24,1,0
2006-07-11,1,1
2006-09-06,1,0
2006-10-17,1,1
2006-12-05,1,0
2007-01-16,1,1
2007-03-06,1,0
2007-04-24,1,1
2007-05-29,1,0
2007-07-10,1,1
2007-09-05,1,0
2007-10-16,1,1
2007-12-04,1,0
2008-01-22,1,1
2008-03-04,1,0
2008-04-22,1,1
2008-06-10,1,0
2008-07-15,1,1
2008-09-03,1,0
2008-10-21,1,1
2008-12-09,1,0
2009-01-20,1,1
2009-03-03,1,0
2009-04-21,1,1
2009-06-04,1,0
2009-07-21,1,1
2009-09-10,1,0
2009-10-20,1,1
2009-12-08,1,0
2010-01-19,1,1
2010-03-02,1,0
2010-04-20,1,1
2010-06-01,1,0
2010-07-20,1,1
2010-09-08,1,0
2010-10-19,1,1
2010-12-07,1,0
2011-01-18,1,1
2011-03-01,1,0
2011-04-12,1,1
2011-05-31,1,0
2011-07-19,1,1
2011-09-07,1,0
2011-10-25,1,1
2011-12-06,1,0
2012-01-17,1,1
2012-03-08,1,0
2012-04-17,1,1
2012-06-05,1,0
2012-07-17,1,1
2012-09-05,1,0
2012-10-23,1,1
2012-12-04,1,0
2013-01-23,1,1
2013-03-06,1,0
2013-04-17,1,1
2013-05-29,1,0
2013-07-17,1,1
2013-09-04,1,0
2013-10-23,1,1
2013-12-04,1,0
2014-01-22,1,1
2014-03-05,1,0
2014-04-16,1,1
2014-06-04,1,0
2014-07-16,1,1
2014-09-03,1,0
2014-10-22,1,1
2014-12-03,1,0
2015-01-21,1,1
2015-03-04,1,0
2015-04-15,1,1
2015-05-27,1,0
2015-07-15,1,1
2015-09-09,1,0
2015-10-21,1,1
2015-12-02,1,0
2016-01-20,1,1
2016-03-09,1,0
2016-04-13,1,1
2016-05-25,1,0
2016-07-13,1,1
2016-09-07,1,0
2016-10-19,1,1
2016-12-07,1,0
2017-01-18,1,1
2017-03-01,1,0
2017-04-12,1,1
2017-05-24,1,0
2017-07-12,1,1
2017-09-06,1,0
2017-10-25,1,1
2018-01-17,1,1
2018-03-07,1,0
2018-04-18,1,1
2018-05-30,1,0
2018-07-11,1,1
2018-09-05,1,0
2018-10-24,1,1
2018-12-05,1,0
2019-01-09,1,1
2019-03-06,1,0
2019-04-24,1,1
2019-05-29,1,0
2019-07-10,1,1
2019-09-04,1,0
2019-10-30,1,1
2020-01-22,1,1
2020-03-04,1,0
2020-04-15,1,1
2020-06-03,1,0
2020-07-15,1,1
2020-09-09,1,0
2020-10-28,1,1
2020-12-09,1,0
2021-01-20,1,1
2021-03-10,1,0
2021-04-21,1,1
2021-06-09,1,0
2021-07-14,1,1
2021-09-08,1,0
2021-10-27,1,1
2021-12-08,1,0
2022-01-26,1,1
2022-03-02,1,0
2022-04-13,1,1
2022-06-01,1,0
2022-07-13,1,1
2022-09-07,1,0
2022-10-26,1,1
2022-12-07,1,0
2023-01-25,1,1
2023-03-08,1,0
2023-04-12,1,1
2023-06-07,1,0
2023-07-12,1,1
2023-09-06,1,0
2023-10-25,1,1
NA,1,0
NA,1,0
