"fomc_activity_date","fomc_meeting_date_indicator","fomc_non_scheduled_meeting_indicator","fomc_projection_materials_indicator","fomc_minutes_date_indicator"
1980-01-09,1,0,0,0
1980-02-05,1,0,0,0
1980-02-22,1,1,0,0
1980-03-07,1,1,0,0
1980-03-18,1,0,0,0
1980-04-22,1,0,0,0
1980-04-29,1,1,0,0
1980-05-06,1,1,0,0
1980-05-20,1,0,0,0
1980-06-05,1,1,0,0
1980-07-09,1,0,0,0
1980-07-25,1,1,0,0
1980-08-12,1,0,0,0
1980-08-22,1,1,0,0
1980-09-16,1,0,0,0
1980-10-21,1,0,0,0
1980-11-18,1,0,0,0
1980-11-26,1,1,0,0
1980-12-05,1,1,0,0
1980-12-12,1,1,0,0
1980-12-19,1,0,0,0
1981-02-03,1,0,0,0
1981-02-04,1,1,0,0
1981-03-31,1,0,0,0
1981-04-28,1,1,0,0
1981-05-06,1,1,0,0
1981-05-18,1,0,0,0
1981-06-17,1,1,0,0
1981-07-07,1,0,0,0
1981-07-17,1,1,0,0
1981-08-07,1,1,0,0
1981-08-18,1,0,0,0
1981-10-06,1,0,0,0
1981-11-17,1,0,0,0
1981-12-22,1,0,0,0
1982-02-02,1,0,0,0
1982-03-30,1,0,0,0
1982-05-18,1,0,0,0
1982-05-20,1,1,0,0
1982-07-01,1,0,0,0
1982-07-15,1,1,0,0
1982-08-24,1,0,0,0
1982-09-24,1,1,0,0
1982-10-05,1,0,0,0
1982-11-16,1,0,0,0
1982-12-21,1,0,0,0
1983-01-14,1,1,0,0
1983-01-21,1,1,0,0
1983-01-28,1,1,0,0
1983-02-09,1,0,0,0
1983-03-29,1,0,0,0
1983-04-29,1,1,0,0
1983-05-24,1,0,0,0
1983-06-23,1,1,0,0
1983-07-12,1,0,0,0
1983-08-23,1,0,0,0
1983-09-08,1,1,0,0
1983-10-04,1,0,0,0
1983-11-15,1,0,0,0
1983-12-20,1,0,0,0
1984-01-31,1,0,0,0
1984-03-20,1,1,0,0
1984-03-27,1,0,0,0
1984-05-21,1,0,0,0
1984-07-17,1,0,0,0
1984-08-21,1,0,0,0
1984-10-02,1,0,0,0
1984-11-07,1,0,0,0
1984-12-18,1,0,0,0
1985-01-18,1,1,0,0
1985-02-13,1,0,0,0
1985-03-26,1,0,0,0
1985-05-21,1,0,0,0
1985-07-10,1,0,0,0
1985-08-20,1,0,0,0
1985-09-23,1,1,0,0
1985-10-01,1,0,0,0
1985-11-05,1,0,0,0
1985-12-17,1,0,0,0
1986-02-12,1,0,0,0
1986-04-01,1,0,0,0
1986-04-21,1,1,0,0
1986-05-20,1,0,0,0
1986-07-09,1,0,0,0
1986-08-19,1,0,0,0
1986-09-23,1,0,0,0
1986-11-05,1,0,0,0
1986-12-16,1,0,0,0
1987-02-11,1,0,0,0
1987-02-23,1,1,0,0
1987-03-31,1,0,0,0
1987-04-29,1,1,0,0
1987-05-19,1,0,0,0
1987-07-07,1,0,0,0
1987-08-18,1,0,0,0
1987-09-22,1,0,0,0
1987-10-19,1,1,0,0
1987-10-20,1,1,0,0
1987-10-21,1,1,0,0
1987-10-22,1,1,0,0
1987-10-23,1,1,0,0
1987-10-26,1,1,0,0
1987-10-27,1,1,0,0
1987-10-28,1,1,0,0
1987-10-29,1,1,0,0
1987-10-30,1,1,0,0
1987-11-03,1,0,0,0
1987-12-16,1,0,0,0
1988-01-05,1,1,0,0
1988-02-10,1,0,0,0
1988-03-29,1,0,0,0
1988-05-17,1,0,0,0
1988-06-30,1,0,0,0
1988-07-19,1,1,0,0
1988-08-16,1,0,0,0
1988-09-20,1,0,0,0
1988-10-17,1,1,0,0
1988-11-01,1,0,0,0
1988-11-22,1,1,0,0
1988-12-14,1,0,0,0
1989-02-08,1,0,0,0
1989-03-28,1,0,0,0
1989-05-16,1,0,0,0
1989-05-31,1,1,0,0
1989-06-05,1,1,0,0
1989-07-06,1,0,0,0
1989-07-26,1,1,0,0
1989-08-22,1,0,0,0
1989-10-03,1,0,0,0
1989-10-16,1,1,0,0
1989-10-17,1,1,0,0
1989-10-18,1,1,0,0
1989-11-14,1,0,0,0
1989-12-19,1,0,0,0
1990-02-07,1,0,0,0
1990-03-27,1,0,0,0
1990-04-11,1,1,0,0
1990-05-15,1,0,0,0
1990-07-03,1,0,0,0
1990-08-21,1,0,0,0
1990-09-07,1,1,0,0
1990-09-17,1,1,0,0
1990-10-02,1,0,0,0
1990-11-13,1,0,0,0
1990-12-07,1,1,0,0
1990-12-18,1,0,0,0
1991-01-09,1,1,0,0
1991-02-01,1,1,0,0
1991-02-06,1,0,0,0
1991-03-26,1,0,0,0
1991-04-12,1,1,0,0
1991-04-30,1,1,0,0
1991-05-01,1,1,0,0
1991-05-14,1,0,0,0
1991-06-10,1,1,0,0
1991-06-24,1,1,0,0
1991-07-03,1,0,0,0
1991-08-05,1,1,0,0
1991-08-20,1,0,0,0
1991-09-13,1,1,0,0
1991-10-01,1,0,0,0
1991-10-30,1,1,0,0
1991-11-05,1,0,0,0
1991-12-02,1,1,0,0
1991-12-17,1,0,0,0
1992-01-09,1,1,0,0
1992-02-05,1,0,0,0
1992-03-11,1,1,0,0
