"boe_activity_date","boe_meeting_date_indicator","boe_non_scheduled_meeting_indicator","boe_projection_materials_indicator","boe_minutes_date_indicator"
2000-01-13,1,0,0,0
2000-01-26,0,0,0,1
2000-02-10,1,0,0,0
2000-02-17,0,0,1,0
2000-02-23,0,0,0,1
2000-03-09,1,0,0,0
2000-03-22,0,0,0,1
2000-04-06,1,0,0,0
2000-04-19,0,0,0,1
2000-05-04,1,0,0,0
2000-05-10,0,0,1,0
2000-05-17,0,0,0,1
2000-06-07,1,0,0,0
2000-06-21,0,0,0,1
2000-07-06,1,0,0,0
2000-07-19,0,0,0,1
2000-08-03,1,0,0,0
2000-08-09,0,0,1,0
2000-08-16,0,0,0,1
2000-09-07,1,0,0,0
2000-09-20,0,0,0,1
2000-10-05,1,0,0,0
2000-10-18,0,0,0,1
2000-11-09,1,0,0,0
2000-11-16,0,0,1,0
2000-11-22,0,0,0,1
2000-12-07,1,0,0,0
2000-12-20,0,0,0,1
2001-01-11,1,0,0,0
2001-01-24,0,0,0,1
2001-02-08,1,0,0,0
2001-02-14,0,0,1,0
2001-02-21,0,0,0,1
2001-03-08,1,0,0,0
2001-03-21,0,0,0,1
2001-04-05,1,0,0,0
2001-04-18,0,0,0,1
2001-05-10,1,0,0,0
2001-05-16,0,0,1,0
2001-05-23,0,0,0,1
2001-06-06,1,0,0,0
2001-06-20,0,0,0,1
2001-07-05,1,0,0,0
2001-07-18,0,0,0,1
2001-08-02,1,0,0,0
2001-08-08,0,0,1,0
2001-08-15,0,0,0,1
2001-09-06,1,0,0,0
2001-09-19,0,0,0,1
2001-10-04,1,0,0,0
2001-10-17,0,0,0,1
2001-11-08,1,0,0,0
2001-11-14,0,0,1,0
2001-11-21,0,0,0,1
2001-12-05,1,0,0,0
2001-12-19,0,0,0,1
2002-01-10,1,0,0,0
2002-01-23,0,0,0,1
2002-02-07,1,0,0,0
2002-02-13,0,0,1,0
2002-02-20,0,0,0,1
2002-03-07,1,0,0,0
2002-03-20,0,0,0,1
2002-04-04,1,0,0,0
2002-04-17,0,0,0,1
2002-05-09,1,0,0,0
2002-05-15,0,0,1,0
2002-05-22,0,0,0,1
2002-06-06,1,0,0,0
2002-06-19,0,0,0,1
2002-07-04,1,0,0,0
2002-07-17,0,0,0,1
2002-08-01,1,0,0,0
2002-08-07,0,0,1,0
2002-08-14,0,0,0,1
2002-09-05,1,0,0,0
2002-09-18,0,0,0,1
2002-10-10,1,0,0,0
2002-10-23,0,0,0,1
2002-11-07,1,0,0,0
2002-11-13,0,0,1,0
2002-11-20,0,0,0,1
2002-12-05,1,0,0,0
2002-12-18,0,0,0,1
2003-01-09,1,0,0,0
2003-01-22,0,0,0,1
2003-02-06,1,0,0,0
2003-02-12,0,0,1,0
2003-02-19,0,0,0,1
2003-03-06,1,0,0,0
2003-03-19,0,0,0,1
2003-04-10,1,0,0,0
2003-04-23,0,0,0,1
2003-05-08,1,0,0,0
2003-05-15,0,0,1,0
2003-05-21,0,0,0,1
2003-06-05,1,0,0,0
2003-06-18,0,0,0,1
2003-07-10,1,0,0,0
2003-07-23,0,0,0,1
2003-08-07,1,0,0,0
2003-08-13,0,0,1,0
2003-08-20,0,0,0,1
2003-09-04,1,0,0,0
2003-09-17,0,0,0,1
2003-10-09,1,0,0,0
2003-10-22,0,0,0,1
2003-11-06,1,0,0,0
2003-11-12,0,0,1,0
2003-11-19,0,0,0,1
2003-12-04,1,0,0,0
2003-12-17,0,0,0,1
2004-01-08,1,0,0,0
2004-01-21,0,0,0,1
2004-02-05,1,0,0,0
2004-02-11,0,0,1,0
2004-02-18,0,0,0,1
2004-03-04,1,0,0,0
2004-03-17,0,0,0,1
2004-04-08,1,0,0,0
2004-04-21,0,0,0,1
2004-05-06,1,0,0,0
2004-05-12,0,0,1,0
2004-05-19,0,0,0,1
2004-06-10,1,0,0,0
2004-06-23,0,0,0,1
2004-07-08,1,0,0,0
2004-07-21,0,0,0,1
2004-08-05,1,0,0,0
2004-08-11,0,0,1,0
2004-08-18,0,0,0,1
2004-09-09,1,0,0,0
2004-09-22,0,0,0,1
2004-10-07,1,0,0,0
2004-10-20,0,0,0,1
2004-11-04,1,0,0,0
2004-11-10,0,0,1,0
2004-11-17,0,0,0,1
2004-12-09,1,0,0,0
2004-12-22,0,0,0,1
2005-01-13,1,0,0,0
2005-01-26,0,0,0,1
2005-02-10,1,0,0,0
2005-02-16,0,0,1,0
2005-02-23,0,0,0,1
2005-03-10,1,0,0,0
2005-03-23,0,0,0,1
2005-04-07,1,0,0,0
2005-04-20,0,0,0,1
2005-05-09,1,0,0,0
2005-05-11,0,0,1,0
2005-05-18,0,0,0,1
2005-06-09,1,0,0,0
2005-06-22,0,0,0,1
2005-07-07,1,0,0,0
2005-07-20,0,0,0,1
2005-08-04,1,0,0,0
2005-08-10,0,0,1,0
2005-08-17,0,0,0,1
2005-09-08,1,0,0,0
2005-09-21,0,0,0,1
2005-10-06,1,0,0,0
2005-10-19,0,0,0,1
2005-11-10,1,0,0,0
2005-11-16,0,0,1,0
2005-11-23,0,0,0,1
2005-12-08,1,0,0,0
2005-12-21,0,0,0,1
2006-01-12,1,0,0,0
2006-01-25,0,0,0,1
2006-02-09,1,0,0,0
2006-02-16,0,0,1,0
2006-02-22,0,0,0,1
2006-03-09,1,0,0,0
2006-03-22,0,0,0,1
2006-04-06,1,0,0,0
2006-04-19,0,0,0,1
2006-05-04,1,0,0,0
2006-05-10,0,0,1,0
2006-05-17,0,0,0,1
2006-06-08,1,0,0,0
2006-06-21,0,0,0,1
2006-07-06,1,0,0,0
2006-07-19,0,0,0,1
2006-08-03,1,0,0,0
