,date,banrep_meeting_date_indicator,banrep_projection_materials_indicator,banrep_minutes_dates_indicator
0,2000-05-02,0,1,0
1,2000-07-21,0,1,0
2,2000-10-23,0,1,0
3,2001-01-25,0,1,0
4,2001-05-03,0,1,0
5,2001-07-27,0,1,0
6,2001-10-30,0,1,0
7,2002-05-15,0,1,0
8,2002-07-09,0,1,0
9,2002-09-02,0,1,0
10,2002-11-01,0,1,0
11,2003-02-06,0,1,0
12,2003-06-10,0,1,0
13,2003-11-24,0,1,0
14,2003-12-01,0,1,0
15,2004-02-17,0,1,0
16,2004-05-04,0,1,0
17,2004-08-03,0,1,0
18,2004-11-03,0,1,0
19,2005-02-07,0,1,0
20,2005-05-03,0,1,0
21,2005-08-09,0,1,0
22,2005-11-11,0,1,0
23,2006-02-10,0,1,0
24,2006-05-11,0,1,0
25,2006-08-14,0,1,0
26,2006-11-14,0,1,0
27,2007-02-19,0,1,0
28,2007-05-22,0,1,0
29,2007-08-23,0,1,0
30,2007-11-13,0,1,0
31,2008-01-25,1,0,0
32,2008-02-08,0,1,0
33,2008-02-08,0,0,1
34,2008-02-22,1,0,0
35,2008-03-07,0,0,1
36,2008-03-28,1,0,0
37,2008-04-11,0,0,1
38,2008-04-25,1,0,0
39,2008-05-09,0,0,1
40,2008-05-12,0,1,0
41,2008-05-23,1,0,0
42,2008-06-06,0,0,1
43,2008-06-20,1,0,0
44,2008-07-04,0,0,1
45,2008-07-25,1,0,0
46,2008-07-25,0,0,1
47,2008-08-14,0,1,0
48,2008-08-15,1,0,0
49,2008-08-29,0,0,1
50,2008-09-19,1,0,0
51,2008-10-03,0,0,1
52,2008-10-24,1,0,0
53,2008-11-07,0,0,1
54,2008-11-21,1,0,0
55,2008-12-04,0,1,0
56,2008-12-05,0,0,1
57,2008-12-19,1,0,0
58,2009-01-30,1,0,0
59,2009-02-13,0,0,1
60,2009-02-27,1,0,0
61,2009-03-04,0,0,1
62,2009-03-07,0,0,1
63,2009-03-13,0,0,1
64,2009-03-20,1,0,0
65,2009-04-12,0,0,1
66,2009-05-15,0,0,1
67,2009-05-29,1,0,0
68,2009-06-08,0,0,1
69,2009-06-11,0,0,1
70,2009-06-16,0,1,0
71,2009-06-19,1,0,0
72,2009-07-24,1,0,0
73,2009-08-10,0,0,1
74,2009-08-20,0,1,0
75,2009-08-28,1,0,0
76,2009-09-25,1,0,0
77,2009-10-23,1,0,0
79,2009-11-09,0,0,1
78,2009-11-09,0,1,0
80,2009-11-23,1,0,0
81,2009-12-06,0,0,1
82,2009-12-18,1,0,0
83,2009-12-30,0,0,1
84,2010-01-29,1,0,0
85,2010-02-12,0,1,0
86,2010-02-12,0,0,1
87,2010-02-26,1,0,0
88,2010-03-12,0,0,1
89,2010-03-26,1,0,0
90,2010-04-09,0,0,1
91,2010-04-30,1,0,0
92,2010-05-09,0,1,0
93,2010-05-14,0,0,1
94,2010-05-27,1,0,0
95,2010-06-11,0,0,1
96,2010-06-18,1,0,0
97,2010-07-02,0,0,1
98,2010-07-23,1,0,0
99,2010-08-06,0,0,1
100,2010-08-20,1,0,0
101,2010-08-24,0,1,0
102,2010-09-03,0,0,1
103,2010-09-24,1,0,0
104,2010-10-08,0,0,1
105,2010-10-29,1,0,0
106,2010-11-12,0,0,1
107,2010-11-19,1,0,0
108,2010-12-03,0,0,1
109,2010-12-10,0,1,0
110,2010-12-17,1,0,0
111,2010-12-30,0,0,1
112,2011-01-31,1,0,0
113,2011-02-11,0,1,0
114,2011-02-14,0,0,1
115,2011-02-25,1,0,0
116,2011-03-11,0,0,1
117,2011-03-18,1,0,0
118,2011-04-01,0,0,1
119,2011-04-29,1,0,0
120,2011-05-13,0,0,1
121,2011-05-19,0,1,0
122,2011-05-30,1,0,0
123,2011-06-10,0,0,1
124,2011-06-17,1,0,0
125,2011-07-01,0,0,1
126,2011-07-29,1,0,0
127,2011-08-12,0,0,1
128,2011-08-16,0,1,0
129,2011-08-19,1,0,0
130,2011-09-02,0,0,1
131,2011-09-30,1,0,0
132,2011-10-14,0,0,1
133,2011-10-28,1,0,0
134,2011-11-11,0,0,1
135,2011-11-16,0,1,0
136,2011-11-25,1,0,0
137,2011-12-09,0,0,1
138,2011-12-16,1,0,0
139,2011-12-29,0,0,1
140,2012-01-30,1,0,0
141,2012-02-10,0,0,1
142,2012-02-24,1,0,0
143,2012-03-05,0,1,0
144,2012-03-09,0,0,1
145,2012-03-23,1,0,0
146,2012-04-04,0,0,1
147,2012-04-30,1,0,0
148,2012-04-30,1,0,0
149,2012-05-11,0,0,1
150,2012-05-28,1,0,0
151,2012-05-31,0,1,0
152,2012-06-08,0,0,1
153,2012-06-29,1,0,0
154,2012-07-13,0,0,1
155,2012-07-27,1,0,0
156,2012-08-10,0,0,1
157,2012-08-21,0,1,0
158,2012-08-24,1,0,0
159,2012-09-07,0,0,1
160,2012-09-28,1,0,0
161,2012-10-12,0,0,1
162,2012-10-26,1,0,0
163,2012-11-09,0,1,0
164,2012-11-14,0,0,1
165,2012-11-23,1,0,0
166,2012-12-14,0,0,1
167,2012-12-21,1,0,0
168,2013-01-04,0,0,1
169,2013-01-28,1,0,0
170,2013-02-11,0,0,1
171,2013-02-19,0,1,0
172,2013-02-22,1,0,0
173,2013-03-08,0,0,1
174,2013-03-22,1,0,0
175,2013-04-05,0,0,1
176,2013-04-26,1,0,0
177,2013-05-10,0,0,1
178,2013-05-22,0,1,0
179,2013-05-31,1,0,0
180,2013-06-14,0,0,1
181,2013-06-28,1,0,0
182,2013-07-12,0,0,1
183,2013-07-26,1,0,0
184,2013-08-09,0,0,1
185,2013-08-14,0,1,0
186,2013-08-30,1,0,0
187,2013-09-13,0,0,1
188,2013-09-27,1,0,0
