date,banxico_meeting_date_indicator,banxico_projection_materials_indicator,banxico_minutes_dates_indicator
2000-01-18,1,0,0
2000-04-28,0,1,0
2000-05-16,1,0,0
2000-06-26,1,0,0
2000-07-28,0,1,0
2000-07-31,1,0,0
2000-10-17,1,0,0
2000-10-27,0,1,0
2000-11-10,1,0,0
2001-01-12,1,0,0
2001-01-28,0,1,0
2001-04-28,0,1,0
2001-05-18,1,0,0
2001-07-28,0,1,0
2001-07-31,1,0,0
2001-10-27,0,1,0
2002-01-28,0,1,0
2002-02-08,1,0,0
2002-04-12,1,0,0
2002-04-28,0,1,0
2002-07-28,0,1,0
2002-09-23,1,0,0
2002-10-29,0,1,0
2002-12-06,1,0,0
2003-01-10,1,0,0
2003-01-24,1,0,0
2003-01-29,0,1,0
2003-02-07,1,0,0
2003-02-21,1,0,0
2003-03-28,1,0,0
2003-04-25,1,0,0
2003-04-29,0,1,0
2003-05-23,1,0,0
2003-06-27,1,0,0
2003-07-25,1,0,0
2003-07-30,0,1,0
2003-08-22,1,0,0
2003-09-26,1,0,0
2003-10-24,1,0,0
2003-10-31,0,1,0
2003-11-21,1,0,0
2003-12-11,1,0,0
2004-01-23,1,0,0
2004-01-31,0,1,0
2004-02-20,1,0,0
2004-03-12,1,0,0
2004-03-26,1,0,0
2004-04-23,1,0,0
2004-04-27,1,0,0
2004-04-30,0,1,0
2004-05-28,1,0,0
2004-06-25,1,0,0
2004-07-23,1,0,0
2004-07-28,0,1,0
2004-08-27,1,0,0
2004-09-24,1,0,0
2004-10-22,1,0,0
2004-10-31,0,1,0
2004-11-26,1,0,0
2004-12-10,1,0,0
2005-01-28,1,0,0
2005-01-31,0,1,0
2005-02-25,1,0,0
2005-03-23,1,0,0
2005-04-22,1,0,0
2005-04-27,0,1,0
2005-05-27,1,0,0
2005-06-24,1,0,0
2005-07-22,1,0,0
2005-07-27,0,1,0
2005-08-26,1,0,0
2005-09-23,1,0,0
2005-10-28,1,0,0
2005-10-31,0,1,0
2005-11-25,1,0,0
2005-12-09,1,0,0
2006-01-27,1,0,0
2006-01-31,0,1,0
2006-02-24,1,0,0
2006-03-24,1,0,0
2006-04-21,1,0,0
2006-04-26,0,1,0
2006-05-26,1,0,0
2006-06-23,1,0,0
2006-07-28,1,0,0
2006-07-31,0,1,0
2006-08-25,1,0,0
2006-09-22,1,0,0
2006-10-27,1,0,0
2006-10-31,0,1,0
2006-11-24,1,0,0
2006-12-08,1,0,0
2007-01-26,1,0,0
2007-01-31,0,1,0
2007-02-23,1,0,0
2007-03-23,1,0,0
2007-04-27,1,0,0
2007-04-30,0,1,0
2007-05-25,1,0,0
2007-06-22,1,0,0
2007-07-27,1,0,0
2007-07-31,0,1,0
2007-08-24,1,0,0
2007-09-21,1,0,0
2007-10-26,1,0,0
2007-10-31,0,1,0
2007-11-23,1,0,0
2007-12-07,1,0,0
2008-01-18,1,0,0
2008-01-30,0,1,0
2008-02-15,1,0,0
2008-03-14,1,0,0
2008-04-18,1,0,0
2008-04-30,0,1,0
2008-05-16,1,0,0
2008-06-20,1,0,0
2008-07-18,1,0,0
2008-07-30,0,1,0
2008-08-15,1,0,0
2008-09-19,1,0,0
2008-10-17,1,0,0
2008-10-29,0,1,0
2008-11-28,1,0,0
2009-01-16,1,0,0
2009-01-27,0,1,0
2009-02-20,1,0,0
2009-03-20,1,0,0
2009-04-17,1,0,0
2009-04-29,0,1,0
2009-05-15,1,0,0
2009-06-19,1,0,0
2009-07-17,1,0,0
2009-07-29,0,1,0
2009-08-21,1,0,0
2009-09-18,1,0,0
2009-10-16,1,0,0
2009-10-28,0,1,0
2009-11-27,1,0,0
2009-12-02,0,1,0
2010-01-15,1,0,0
2010-01-27,0,1,0
2010-02-19,1,0,0
2010-03-19,1,0,0
2010-04-16,1,0,0
2010-04-28,0,1,0
2010-05-21,1,0,0
2010-06-18,1,0,0
2010-07-16,1,0,0
2010-08-20,1,0,0
2010-08-30,0,1,0
2010-09-24,1,0,0
2010-10-15,1,0,0
2010-10-27,0,1,0
2010-11-26,1,0,0
2011-03-10,0,1,0
2011-04-15,1,0,0
2011-05-27,1,0,0
2011-06-09,0,1,0
2011-08-26,1,0,0
