"bnz_activity_date","bnz_meeting_date_indicator","bnz_projection_materials_indicator","bnz_minutes_date_indicator"
2000-01-19,1,0,0
2000-03-15,1,1,0
2000-04-19,1,0,0
2000-05-17,1,1,0
2000-07-05,1,0,0
2000-08-16,1,1,0
2000-10-04,1,0,0
2000-12-06,1,1,0
2001-01-24,1,0,0
2001-03-14,1,1,0
2001-04-19,1,0,0
2001-05-16,1,1,0
2001-07-04,1,0,0
2001-08-15,1,1,0
2001-09-19,1,0,0
2001-10-03,1,0,0
2001-11-14,1,1,0
2002-01-23,1,0,0
2002-03-20,1,1,0
2002-04-17,1,0,0
2002-05-15,1,1,0
2002-07-03,1,0,0
2002-08-14,1,1,0
2002-10-02,1,0,0
2002-11-20,1,1,0
2003-01-23,1,0,0
2003-03-06,1,1,0
2003-04-24,1,0,0
2003-06-05,1,1,0
2003-07-24,1,0,0
2003-09-04,1,0,0
2003-10-23,1,0,0
2003-12-04,1,1,0
2004-01-29,1,0,0
2004-03-11,1,1,0
2004-04-29,1,0,0
2004-06-10,1,1,0
2004-07-29,1,0,0
2004-09-09,1,1,0
2004-10-08,1,0,0
2004-12-09,1,1,0
2005-01-27,1,0,0
2005-03-10,1,1,0
2005-04-28,1,0,0
2005-06-09,1,1,0
2005-07-28,1,0,0
2005-09-15,1,1,0
2005-10-27,1,0,0
2005-12-08,1,0,0
2006-01-26,1,0,0
2006-03-09,1,1,0
2006-04-27,1,0,0
2006-06-08,1,1,0
2006-07-27,1,0,0
2006-09-14,1,1,0
2006-10-26,1,0,0
2006-12-07,1,1,0
2007-01-25,1,0,0
2007-03-08,1,1,0
2007-04-26,1,0,0
2007-06-07,1,1,0
2007-07-26,1,0,0
2007-09-13,1,1,0
2007-10-25,1,0,0
2007-12-06,1,1,0
2008-01-24,1,0,0
2008-03-06,1,1,0
2008-04-24,1,0,0
2008-06-05,1,1,0
2008-07-24,1,0,0
2008-09-11,1,1,0
2008-10-23,1,0,0
2008-12-04,1,1,0
2009-01-29,1,0,0
2009-03-12,1,1,0
2009-04-30,1,0,0
2009-06-11,1,1,0
2009-07-30,1,0,0
2009-09-10,1,1,0
2009-10-29,1,0,0
2009-12-10,1,1,0
2010-01-28,1,0,0
2010-03-11,1,1,0
2010-04-29,1,0,0
2010-06-10,1,1,0
2010-09-16,1,1,0
2010-10-28,1,0,0
2010-12-09,1,1,0
2011-01-27,1,0,0
2011-03-10,1,1,0
2011-04-28,1,0,0
2011-06-09,1,1,0
2011-07-28,1,0,0
2011-09-15,1,1,0
2011-10-27,1,0,0
2011-12-08,1,1,0
2012-01-26,1,0,0
2012-03-08,1,1,0
2012-04-26,1,0,0
2012-06-14,1,1,0
2012-07-26,1,0,0
2012-09-13,1,1,0
2012-10-25,1,0,0
2012-12-06,1,1,0
2013-01-31,1,0,0
2013-03-14,1,1,0
2013-04-24,1,0,0
2013-06-13,1,1,0
2013-07-25,1,0,0
2013-09-12,1,1,0
2013-10-31,1,0,0
2013-12-12,1,1,0
2014-01-30,1,0,0
2014-03-13,1,1,0
2014-04-24,1,0,0
2014-06-12,1,1,0
2014-07-24,1,0,0
2014-09-11,1,1,0
2014-10-30,1,0,0
2014-12-11,1,1,0
2015-01-29,1,0,0
2015-03-12,1,1,0
2015-04-30,1,0,0
2015-06-11,1,1,0
2015-07-23,1,0,0
2015-09-10,1,1,0
2015-10-29,1,0,0
2015-12-10,1,1,0
2016-01-28,1,0,0
2016-03-10,1,1,0
2016-04-28,1,0,0
2016-06-09,1,1,0
2016-08-11,1,1,0
2016-09-22,1,0,0
2016-11-10,1,1,0
2017-02-09,1,1,0
2017-03-23,1,0,0
2017-05-11,1,1,0
2017-06-22,1,0,0
2017-08-10,1,1,0
2017-09-28,1,0,0
2017-11-09,1,1,0
2018-02-08,1,1,0
2018-03-22,1,0,0
2018-05-10,1,1,0
2018-06-28,1,0,0
2018-08-09,1,1,0
2018-09-27,1,0,0
2018-11-08,1,1,0
2019-02-13,1,1,0
2019-03-27,1,0,0
2019-05-08,1,1,0
2019-06-26,1,0,0
2019-08-07,1,1,0
2019-09-25,1,0,0
2019-11-13,1,1,0
2020-02-12,1,1,0
2020-03-16,1,0,0
2020-03-23,1,0,0
2020-04-07,1,0,0
2020-05-13,1,1,0
2020-06-24,1,0,0
2020-08-12,1,1,0
2020-09-23,1,0,0
2020-11-11,1,1,0
2021-02-24,1,1,0
2021-04-14,1,0,0
2021-05-26,1,1,0
2021-07-14,1,0,0
2021-08-18,1,1,0
2021-10-06,1,0,0
2021-11-24,1,1,0
2022-02-23,1,1,0
2022-04-13,1,0,0
2022-05-25,1,1,0
2022-07-13,1,0,0
2022-08-17,1,1,0
2022-10-05,1,0,0
2022-11-23,1,1,0
2023-02-22,1,1,0
2023-04-05,1,0,0
2023-05-24,1,1,0
2023-07-12,1,0,0
2023-08-16,1,1,0
2023-10-04,1,0,0
2023-11-29,1,1,0
