"boi_activity_date","boi_meeting_date_indicator","boi_projection_materials_indicator","boi_minutes_dates_indicator"
2006-01-29,1,0,0
2006-04-24,1,0,0
2006-05-08,0,0,1
2006-05-28,1,0,0
2006-06-12,0,0,1
2006-06-26,1,0,0
2006-07-10,0,0,1
2006-07-24,1,0,0
2006-08-28,1,0,0
2006-09-11,0,0,1
2006-09-25,1,0,0
2006-10-09,0,0,1
2006-10-23,1,0,0
2006-11-26,1,0,0
2006-12-25,1,0,0
2007-02-25,1,0,0
2007-03-25,1,0,0
2007-04-22,1,0,0
2007-05-07,0,0,1
2007-05-28,1,0,0
2007-06-11,0,0,1
2007-06-25,1,0,0
2007-07-22,1,0,0
2007-08-06,0,0,1
2007-08-27,1,0,0
2007-11-26,1,0,0
2008-01-28,1,0,0
2008-02-11,0,0,1
2008-02-25,1,0,0
2008-03-10,0,0,1
2008-03-24,1,0,0
2008-04-07,0,0,1
2008-04-28,1,0,0
2008-05-12,0,0,1
2008-05-26,1,0,0
2008-06-09,0,0,1
2008-06-23,1,0,0
2008-07-07,0,0,1
2008-07-28,1,0,0
2008-08-12,0,0,1
2008-08-22,1,0,0
2008-10-06,0,0,1
2008-10-07,1,0,0
2008-10-21,0,0,1
2008-10-27,1,0,0
2008-11-10,0,0,1
2008-12-08,0,0,1
2008-12-29,1,0,0
2009-01-12,0,0,1
2009-02-23,1,0,0
2009-03-09,0,0,1
2009-03-23,1,0,0
2009-04-06,0,0,1
2009-04-27,1,0,0
2009-05-11,0,0,1
2009-05-25,1,0,0
2009-06-08,0,0,1
2009-06-22,1,0,0
2009-07-06,0,0,1
2009-08-10,0,0,1
2009-08-24,1,0,0
2009-09-07,0,0,1
2009-09-24,1,0,0
2009-10-12,0,0,1
2009-10-26,1,0,0
2009-11-09,0,0,1
2009-11-23,1,0,0
2009-12-07,0,0,1
2009-12-28,1,0,0
2010-01-11,0,0,1
2010-01-25,1,0,1
2010-02-22,1,0,0
2010-03-08,0,0,1
2010-03-28,1,0,0
2010-04-12,0,0,1
2010-04-26,1,0,0
2010-05-10,0,0,1
2010-05-24,1,0,0
2010-06-07,0,0,1
2010-06-28,1,0,0
2010-07-12,0,0,1
2010-07-26,1,0,0
2010-08-09,0,0,1
2010-08-23,1,0,0
2010-09-06,0,0,1
2010-09-27,1,0,0
2010-10-11,0,0,1
2010-11-08,0,0,1
2010-11-22,1,0,0
2010-12-06,0,0,1
2010-12-27,1,0,0
2011-01-10,0,0,1
2011-01-24,1,0,0
