"boj_activity_date","boj_meeting_date_indicator","boj_non_scheduled_meeting_indicator","boj_projection_materials_indicator","boj_minutes_date_indicator"
2000-01-17,1,0,0,0
2000-02-10,1,0,0,0
2000-02-24,1,0,0,0
2000-02-29,0,0,0,1
2000-03-08,1,1,0,0
2000-03-13,0,0,0,1
2000-03-24,1,0,0,0
2000-03-29,0,0,0,1
2000-04-10,1,0,0,0
2000-04-13,0,0,0,1
2000-04-27,1,0,0,0
2000-05-02,0,0,0,1
2000-05-17,1,0,0,0
2000-05-22,0,0,0,1
2000-06-12,1,0,0,0
2000-06-15,0,0,0,1
2000-06-28,1,0,0,0
2000-07-03,0,0,0,1
2000-07-17,1,0,0,0
2000-07-21,0,0,0,1
2000-08-11,1,0,0,0
2000-08-16,0,0,0,1
2000-09-14,1,0,0,0
2000-09-20,0,0,0,1
2000-09-20,0,0,0,1
2000-10-13,1,0,0,0
2000-10-18,0,0,0,1
2000-10-30,1,0,1,0
2000-11-17,1,0,0,0
2000-11-22,0,0,0,1
2000-11-30,1,0,0,0
2000-12-05,0,0,0,1
2000-12-15,1,0,0,0
2000-12-20,0,0,0,1
2001-01-19,1,0,0,0
2001-01-24,0,0,0,1
2001-01-24,0,0,0,1
2001-02-09,1,0,0,0
2001-02-28,1,0,0,0
2001-03-05,0,0,0,1
2001-03-19,1,0,0,0
2001-03-23,0,0,0,1
2001-04-12,1,0,0,0
2001-04-18,0,0,0,1
2001-04-25,1,0,1,0
2001-05-01,0,0,0,1
2001-05-17,1,0,0,0
2001-05-23,0,0,0,1
2001-06-15,1,0,0,0
2001-06-20,0,0,0,1
2001-06-20,0,0,0,1
2001-06-28,1,0,0,0
2001-07-13,1,0,0,0
2001-07-18,0,0,0,1
2001-08-14,1,0,0,0
2001-08-17,0,0,0,1
2001-08-17,0,0,0,1
2001-09-18,1,0,0,0
2001-09-25,0,0,0,1
2001-10-12,1,0,0,0
2001-10-29,1,0,1,0
2001-11-01,0,0,0,1
2001-11-16,1,0,0,0
2001-11-21,0,0,0,1
2001-11-29,1,1,0,0
2001-12-04,0,0,0,1
2001-12-19,1,0,0,0
2001-12-25,0,0,0,1
2002-01-16,1,0,0,0
2002-01-21,0,0,0,1
2002-01-21,0,0,0,1
2002-02-08,1,0,0,0
2002-02-28,1,0,0,0
2002-03-05,0,0,0,1
2002-03-20,1,0,0,0
2002-03-26,0,0,0,1
2002-04-11,1,0,0,0
2002-04-16,0,0,0,1
2002-04-30,1,0,1,0
2002-05-07,0,0,0,1
2002-05-21,1,0,0,0
2002-05-24,0,0,0,1
2002-06-12,1,0,0,0
2002-06-17,0,0,0,1
2002-06-26,1,0,0,0
2002-07-01,0,0,0,1
2002-07-16,1,0,0,0
2002-07-19,0,0,0,1
2002-08-09,1,0,0,0
2002-08-14,0,0,0,1
2002-08-14,0,0,0,1
2002-09-18,1,0,0,0
2002-09-24,0,0,0,1
2002-10-11,1,0,0,0
2002-10-30,1,0,1,0
2002-11-05,0,0,0,1
2002-11-19,1,0,0,0
2002-11-22,0,0,0,1
2002-12-17,1,0,0,0
2002-12-20,0,0,0,1
2002-12-20,0,0,0,1
2003-01-22,1,0,0,0
2003-01-27,0,0,0,1
2003-02-14,1,0,0,0
2003-02-19,0,0,0,1
2003-03-05,1,1,0,0
2003-03-10,0,0,0,1
2003-03-25,1,0,0,0
2003-04-08,1,0,0,0
2003-04-11,0,0,0,1
2003-04-30,1,0,1,0
2003-05-06,0,0,0,1
2003-05-20,1,0,0,0
2003-05-23,0,0,0,1
2003-06-11,1,0,0,0
2003-06-16,0,0,0,1
2003-06-25,1,0,0,0
2003-06-30,0,0,0,1
2003-07-15,1,0,0,0
2003-07-18,0,0,0,1
2003-08-08,1,0,0,0
2003-08-13,0,0,0,1
2003-08-13,0,0,0,1
2003-09-12,1,0,0,0
2003-09-18,0,0,0,1
