"buba_activity_date","buba_meeting_date_indicator","buba_policy_decision_indicator"
1975-01-09,1,0
1975-01-23,1,0
1975-02-06,1,1
1975-02-20,1,0
1975-03-06,1,1
1975-03-20,1,0
1975-04-10,1,1
1975-04-24,1,1
1975-05-07,1,0
1975-05-22,1,1
1975-06-05,1,0
1975-06-19,1,0
1975-07-03,1,0
1975-07-17,1,1
1975-08-14,1,1
1975-08-28,1,0
1975-09-11,1,1
1975-09-25,1,0
1975-10-09,1,0
1975-10-23,1,0
1975-11-06,1,1
1975-11-20,1,0
1975-12-04,1,0
1975-12-18,1,1
1976-01-05,1,0
1976-01-22,1,0
1976-02-05,1,0
1976-02-19,1,1
1976-03-04,1,0
1976-03-18,1,0
1976-04-01,1,0
1976-04-22,1,0
1976-05-04,1,1
1976-05-20,1,0
1976-06-03,1,0
1976-06-16,1,0
1976-07-01,1,0
1976-07-15,1,0
1976-08-12,1,0
1976-08-26,1,0
1976-09-09,1,0
1976-09-23,1,0
1976-10-21,1,0
1976-11-04,1,1
1976-11-18,1,1
1976-12-02,1,1
1976-12-16,1,0
1977-02-03,1,0
1977-02-17,1,0
1977-03-03,1,1
1977-03-17,1,0
1977-03-30,1,0
1977-04-21,1,0
1977-05-05,1,0
1977-05-18,1,1
1977-06-02,1,0
1977-06-08,1,0
1977-06-16,1,0
1977-06-30,1,1
1977-07-14,1,1
1977-08-11,1,0
1977-08-25,1,1
1977-09-08,1,0
1977-09-22,1,0
1977-10-06,1,0
1977-10-20,1,0
1977-11-03,1,0
1977-11-17,1,0
1977-12-01,1,1
1977-12-15,1,1
1978-01-05,1,0
1978-01-19,1,1
1978-02-02,1,1
1978-02-16,1,0
1978-03-02,1,0
1978-03-16,1,0
1978-04-06,1,1
1978-04-20,1,0
1978-05-03,1,0
1978-05-18,1,1
1978-06-01,1,0
1978-06-15,1,0
1978-06-29,1,1
1978-07-13,1,0
1978-08-10,1,0
1978-08-24,1,0
1978-09-07,1,1
1978-09-21,1,0
1978-10-05,1,0
1978-10-19,1,1
1978-11-02,1,0
1978-11-16,1,0
