"cbrc_activity_date","cbrc_meeting_date_indicator","cbrc_minutes_date_indicator"
2001-06-28,1,0
2001-08-17,1,0
2001-09-18,1,0
2001-09-26,1,0
2001-10-03,1,0
2001-11-07,1,0
2001-12-27,1,0
2002-03-28,1,0
2002-06-27,1,0
2002-09-23,1,0
2002-11-11,1,0
2002-12-26,1,0
2003-03-20,1,0
2003-06-26,1,0
2003-09-25,1,0
2003-12-29,1,0
2004-03-26,1,0
2004-06-24,1,0
2004-09-30,1,0
2004-12-30,1,0
2005-03-24,1,0
2005-06-30,1,0
2005-09-15,1,0
2005-12-22,1,0
2006-03-30,1,0
2006-06-29,1,0
2006-09-28,1,0
2006-12-28,1,0
2007-03-29,1,0
2007-06-21,1,0
2007-09-20,1,0
2007-12-20,1,0
2008-03-27,1,0
2008-06-26,1,0
2008-09-25,1,0
2008-10-09,1,0
2008-10-30,1,0
2008-11-09,1,0
2008-12-11,1,0
2009-01-07,1,0
2009-02-18,1,0
2009-03-26,1,0
2009-06-25,1,0
2009-09-24,1,0
2009-12-24,1,0
2010-03-25,1,0
2010-06-24,1,0
2010-09-30,1,0
2010-12-30,1,0
2011-03-31,1,0
2011-06-30,1,0
2011-09-29,1,0
2011-12-29,1,0
2012-03-22,1,0
2012-06-21,1,0
2012-09-20,1,0
2013-12-26,1,0
2014-06-26,1,0
2014-09-25,1,0
2014-12-18,1,0
2015-03-26,1,0
2015-06-25,1,0
2015-09-24,1,0
2015-12-17,1,0
2016-03-24,1,0
2016-06-30,1,0
2016-09-29,1,0
2016-12-22,1,0
2017-03-23,1,0
2017-06-22,1,0
2017-08-03,0,1
2017-09-21,1,0
2017-11-02,0,1
2017-12-21,1,0
2018-02-01,0,1
2018-03-22,1,0
2018-05-03,0,1
2018-06-21,1,0
2018-08-02,0,1
2018-09-27,1,0
2018-11-08,0,1
2018-12-20,1,0
2019-01-31,0,1
2019-03-21,1,0
2019-05-02,0,1
2019-06-20,1,0
2019-08-01,0,1
2019-09-19,1,0
2019-10-31,0,1
2019-12-19,1,0
2020-01-30,0,1
2020-03-19,1,0
2020-04-30,0,1
2020-06-18,1,0
2020-07-30,0,1
2020-09-17,1,0
2020-10-29,0,1
2020-12-17,1,0
2021-01-28,0,1
2021-03-18,1,0
2021-04-29,0,1
2021-06-17,1,0
2021-07-29,0,1
2021-09-23,1,0
2021-11-04,0,1
2021-12-16,1,0
2022-01-27,0,1
2022-03-17,1,0
2022-04-28,0,1
2022-06-16,1,0
2022-07-28,0,1
2022-09-22,1,0
2022-11-03,0,1
2022-12-15,1,0
2023-01-29,0,1
2023-03-23,1,0
2023-05-04,0,1
2023-06-15,1,0
2023-07-27,0,1
2023-09-21,1,0
2023-11-02,0,1
2023-12-14,1,0
