date,ecb_meeting_date_indicator,ecb_non_scheduled_meeting_indicator,ecb_projection_materials_indicator,ecb_minutes_date_indicator
2000-01-05,1,0,0,0
2000-01-20,1,0,0,0
2000-02-03,1,0,0,0
2000-02-17,1,0,0,0
2000-03-02,1,0,0,0
2000-03-16,1,0,0,0
2000-03-30,1,0,0,0
2000-04-13,1,0,0,0
2000-04-27,1,0,0,0
2000-05-11,1,0,0,0
2000-05-25,1,0,0,0
2000-06-08,1,0,0,0
2000-06-21,1,0,0,0
2000-07-06,1,0,0,0
2000-07-20,1,0,0,0
2000-08-03,1,0,0,0
2000-08-31,1,0,0,0
2000-09-14,1,0,0,0
2000-10-05,1,0,0,0
2000-10-19,1,0,0,0
2000-11-02,1,0,0,0
2000-11-16,1,0,0,0
2000-11-30,1,0,0,0
2000-12-14,1,0,0,0
2001-01-04,1,0,0,0
2001-01-18,1,0,0,0
2001-02-01,1,0,0,0
2001-02-15,1,0,0,0
2001-03-01,1,0,0,0
2001-03-15,1,0,0,0
2001-03-29,1,0,0,0
2001-04-11,1,0,0,0
2001-04-26,1,0,0,0
2001-05-10,1,0,0,0
2001-05-23,1,0,0,0
2001-06-07,1,0,0,0
2001-06-21,1,0,0,0
2001-07-05,1,0,0,0
2001-07-19,1,0,0,0
2001-08-02,1,0,0,0
2001-08-30,1,0,0,0
2001-09-13,1,0,0,0
2001-09-17,1,0,0,0
2001-10-11,1,0,0,0
2001-10-25,1,0,0,0
2001-11-08,1,0,0,0
2001-12-06,1,0,0,0
2002-01-03,1,0,0,0
2002-02-07,1,0,0,0
2002-03-07,1,0,0,0
2002-04-04,1,0,0,0
2002-05-02,1,0,0,0
2002-06-06,1,0,0,0
2002-07-04,1,0,0,0
2002-08-01,1,0,0,0
2002-09-12,1,0,0,0
2002-10-10,1,0,0,0
2002-11-07,1,0,0,0
2002-12-05,1,0,0,0
2003-01-09,1,0,0,0
2003-02-06,1,0,0,0
2003-03-06,1,0,0,0
2003-04-03,1,0,0,0
2003-05-08,1,0,0,0
2003-06-05,1,0,0,0
2003-07-10,1,0,0,0
2003-09-04,1,0,0,0
2003-10-02,1,0,0,0
2003-11-06,1,0,0,0
2003-12-04,1,0,0,0
2004-01-08,1,0,0,0
2004-02-05,1,0,0,0
2004-03-04,1,0,0,0
2004-04-01,1,0,0,0
2004-05-06,1,0,0,0
2004-06-03,1,0,1,0
2004-07-01,1,0,0,0
2004-08-05,1,0,0,0
2004-09-02,1,0,1,0
2004-10-07,1,0,0,0
2004-11-04,1,0,0,0
2004-12-02,1,0,1,0
2005-01-13,1,0,0,0
2005-02-03,1,0,0,0
2005-03-03,1,0,1,0
2005-04-07,1,0,0,0
2005-05-04,1,0,0,0
2005-06-02,1,0,1,0
2005-07-07,1,0,0,0
2005-08-04,1,0,0,0
2005-09-01,1,0,1,0
2005-10-06,1,0,0,0
2005-11-03,1,0,0,0
2005-12-01,1,0,1,0
2006-01-12,1,0,0,0
2006-02-02,1,0,0,0
2006-03-02,1,0,1,0
2006-04-06,1,0,0,0
2006-05-04,1,0,0,0
2006-06-08,1,0,1,0
2006-07-06,1,0,0,0
2006-08-03,1,0,0,0
2006-08-31,1,0,1,0
2006-10-05,1,0,0,0
2006-11-02,1,0,0,0
2006-12-07,1,0,1,0
2007-01-11,1,0,0,0
2007-02-08,1,0,0,0
2007-03-08,1,0,1,0
2007-04-12,1,0,0,0
2007-05-10,1,0,0,0
2007-06-06,1,0,1,0
2007-07-05,1,0,0,0
2007-08-02,1,0,0,0
2007-09-06,1,0,1,0
2007-10-04,1,0,0,0
2007-11-08,1,0,0,0
2007-12-06,1,0,1,0
2008-01-10,1,0,0,0
2008-02-07,1,0,0,0
2008-03-06,1,0,1,0
2008-04-10,1,0,0,0
2008-05-08,1,0,0,0
2008-06-05,1,0,1,0
2008-07-03,1,0,0,0
2008-08-07,1,0,0,0
2008-09-04,1,0,1,0
2008-10-02,1,0,0,0
2008-10-08,1,1,0,0
2008-11-06,1,0,0,0
2008-12-04,1,0,1,0
2009-01-15,1,0,0,0
2009-02-05,1,0,0,0
2009-03-05,1,0,1,0
2009-04-02,1,0,0,0
2009-05-07,1,0,0,0
2009-06-04,1,0,1,0
2009-07-02,1,0,0,0
